,director
0,Frank Darabont
1,Francis Ford Coppola
2,Christopher Nolan
3,Francis Ford Coppola
4,Sidney Lumet
5,Steven Spielberg
6,Peter Jackson
7,Quentin Tarantino
8,Peter Jackson
9,Sergio Leone
10,Robert Zemeckis
11,Peter Jackson
12,David Fincher
13,Christopher Nolan
14,Irvin Kershner
15,Lana Wachowski
16,Martin Scorsese
17,Milos Forman
18,David Fincher
19,Christopher Nolan
20,Frank Capra
21,Akira Kurosawa
22,Jonathan Demme
23,Steven Spielberg
24,Fernando Meirelles
25,Roberto Benigni
26,Frank Darabont
27,James Cameron
28,George Lucas
29,Denis Villeneuve
30,Robert Zemeckis
31,Hayao Miyazaki
32,Roman Polanski
33,Bong Joon Ho
34,Alfred Hitchcock
35,Ridley Scott
36,Joaquim Dos Santos
37,Roger Allers
38,Martin Scorsese
39,Luc Besson
40,Tony Kaye
41,Damien Chazelle
42,Christopher Nolan
43,Isao Takahata
44,Masaki Kobayashi
45,Bryan Singer
46,Michael Curtiz
47,Olivier Nakache
48,Giuseppe Tornatore
49,Charles Chaplin
50,Alfred Hitchcock
51,Sergio Leone
52,Ridley Scott
53,Charles Chaplin
54,Quentin Tarantino
55,Francis Ford Coppola
56,Christopher Nolan
57,Andrew Stanton
58,Vidhu Vinod Chopra
59,Steven Spielberg
60,Florian Henckel von Donnersmarck
61,Billy Wilder
62,Anthony Russo
63,Stanley Kubrick
64,Bob Persichetti
65,Billy Wilder
66,Stanley Kubrick
67,Charles Chaplin
68,James Cameron
69,Quentin Tarantino
70,Christopher Nolan
71,Stanley Kubrick
72,Lee Unkrich
73,Park Chan-wook
74,Sam Mendes
75,Milos Forman
76,John Lasseter
77,Anthony Russo
78,Wolfgang Petersen
79,Mel Gibson
80,Gus Van Sant
81,Hayao Miyazaki
82,Todd Phillips
83,Makoto Shinkai
84,Akira Kurosawa
85,Sergio Leone
86,Rajkumar Hirani
87,Stanley Donen
88,Nadine Labaki
89,Elem Klimov
90,Darren Aronofsky
91,Lee Unkrich
92,Richard Marquand
93,Michel Gondry
94,Thomas Vinterberg
95,Stanley Kubrick
96,Quentin Tarantino
97,Akira Kurosawa
98,Christopher Nolan
99,David Lean
100,Billy Wilder
101,Denis Villeneuve
102,Alfred Hitchcock
103,Orson Welles
104,Fritz Lang
105,Brian De Palma
106,Billy Wilder
107,Alfred Hitchcock
108,Stanley Kubrick
109,Jean-Pierre Jeunet
110,Michael Mann
111,Pete Docter
112,Stanley Kubrick
113,Robert Mulligan
114,Asghar Farhadi
115,George Roy Hill
116,Steven Spielberg
117,John McTiernan
118,Aamir Khan
119,Fritz Lang
120,Guy Ritchie
121,Curtis Hanson
122,Sam Mendes
123,Thomas Kail
124,Vittorio De Sica
125,Martin Scorsese
126,Oliver Hirschbiegel
127,Nitesh Tiwari
128,Sergio Leone
129,Christopher Nolan
130,Martin Scorsese
131,Billy Wilder
132,Peter Farrelly
133,Charles Chaplin
134,Florian Zeller
135,Stanley Kramer
136,Peter Weir
137,Joseph L. Mankiewicz
138,Joseph Kosinski
139,Martin Scorsese
140,Paul Thomas Anderson
141,Martin Scorsese
142,Steven Spielberg
143,Akira Kurosawa
144,M. Night Shyamalan
145,Guillermo del Toro
146,Clint Eastwood
147,Ethan Coen
148,Ron Howard
149,John Carpenter
150,Quentin Tarantino
151,John Huston
152,Akira Kurosawa
153,Terry Gilliam
154,John Sturges
155,Andrew Stanton
156,Denis Villeneuve
157,Hayao Miyazaki
158,Akira Kurosawa
159,David Lynch
160,Alfred Hitchcock
161,Roman Polanski
162,Victor Fleming
163,Guy Ritchie
164,Juan José Campanella
165,James McTeigue
166,Pete Docter
167,Martin Scorsese
168,Martin McDonagh
169,Danny Boyle
170,David Lean
171,Sergio Pablos
172,Joel Coen
173,Steven Spielberg
174,Jon Watts
175,Gavin O'Connor
176,Clint Eastwood
177,Clint Eastwood
178,David Yates
179,Hayao Miyazaki
180,Majid Majidi
181,Steve McQueen
182,William Wyler
183,Ridley Scott
184,Richard Linklater
185,Wes Anderson
186,Stanley Kubrick
187,George Miller
188,David Fincher
189,Mel Gibson
190,Charles Chaplin
191,Peter Weir
192,Bong Joon Ho
193,Jim Sheridan
194,Damián Szifron
195,Michael Cimino
196,Pete Docter
197,Clyde Bruckman
198,Elia Kazan
199,Buster Keaton
200,Dean DeBlois
201,Steven Spielberg
202,Carol Reed
203,Henri-Georges Clouzot
204,Adam Elliot
205,Ingmar Bergman
206,Brad Bird
207,Frank Capra
208,James Mangold
209,Yasujirô Ozu
210,Joel Coen
211,Lenny Abrahamson
212,Ingmar Bergman
213,John G. Avildsen
214,James Mangold
215,Tom McCarthy
216,Terry George
217,James Cameron
218,Oliver Stone
219,Mathieu Kassovitz
220,Carl Theodor Dreyer
221,Richard Linklater
222,William Wyler
223,Gore Verbinski
224,William Friedkin
225,T.J. Gnanavel
226,Ron Howard
227,Sidney Lumet
228,Victor Fleming
229,Rob Reiner
230,Brad Bird
231,Lasse Hallström
232,Çagan Irmak
233,Park Chan-wook
234,Sean Penn
235,Robert Wise
236,Ernst Lubitsch
237,Gillo Pontecorvo
238,John Ford
239,Harold Ramis
240,Alejandro G. Iñárritu
241,Brad Bird
242,Alfred Hitchcock
243,Stuart Rosenberg
244,Tate Taylor
245,Frank Capra
246,Nishikant Kamat
247,Kevin Costner
248,Ron Clements
249,Anurag Kashyap
